id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
1043,"Dunoyer de Segonzac, André",Male,1884–1974,1884,1974,"Boussy-Saint-Antoine, France","Paris, France",http://www.tate.org.uk/art/artists/andre-dunoyer-de-segonzac-1043
1044,"Dunstan, Bernard",Male,born 1920,1920,,"Middlesex, United Kingdom",,http://www.tate.org.uk/art/artists/bernard-dunstan-1044
162,"Dupont, Gainsborough",Male,1754–1797,1754,1797,,"London, United Kingdom",http://www.tate.org.uk/art/artists/gainsborough-dupont-162
9914,"Durant, Sam",Male,born 1961,1961,,"Seattle, United States",,http://www.tate.org.uk/art/artists/sam-durant-9914
11953,"Durham, Jimmie",Male,born 1940,1940,,"Arkansas, United States",,http://www.tate.org.uk/art/artists/jimmie-durham-11953
1046,"Durrant, Jennifer",Female,born 1942,1942,,"Brighton, United Kingdom",,http://www.tate.org.uk/art/artists/jennifer-durrant-1046
1047,"Durst, Alan L.",Male,1883–1970,1883,1970,"Hampshire, United Kingdom",,http://www.tate.org.uk/art/artists/alan-l-durst-1047
164,"Dyce, William",Male,1806–1864,1806,1864,"Aberdeen, United Kingdom","Streatham, United Kingdom",http://www.tate.org.uk/art/artists/william-dyce-164
6860,"Dzama, Marcel",Male,born 1974,1974,,"Winnipeg, Canada",,http://www.tate.org.uk/art/artists/marcel-dzama-6860
1048,"Dzamonja, Dusan",Male,1928–2009,1928,2009,"Strumica, Makedonija","Zagreb, Hrvatska",http://www.tate.org.uk/art/artists/dusan-dzamonja-1048
1049,"Eardley, Joan",Female,1921–1963,1921,1963,"West Sussex, United Kingdom",,http://www.tate.org.uk/art/artists/joan-eardley-1049
16658,"Earnshaw, Anthony",Male,1924–2001,1924,2001,"Ilkley, United Kingdom","Saltburn-by-the-Sea, United Kingdom",http://www.tate.org.uk/art/artists/anthony-earnshaw-16658
165,"East, Sir Alfred",Male,1844–1913,1849,1913,"Kettering, United Kingdom","Kettering, United Kingdom",http://www.tate.org.uk/art/artists/sir-alfred-east-165
166,"Eastlake, Sir Charles Lock",Male,1793–1865,1793,1865,Plymouth,"England, United Kingdom",http://www.tate.org.uk/art/artists/sir-charles-lock-eastlake-166
3096,"Edmier, Keith",Male,born 1967,1967,,"Chicago, United States",,http://www.tate.org.uk/art/artists/keith-edmier-3096
167,"Edridge, Henry",Male,1769–1821,1769,1821,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-edridge-167
168,"Edwards, Edwin",Male,1823–1879,1823,1879,"Framlingham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-edwards-168
1050,"Edwards, Jeffery",Male,born 1945,1945,,,,http://www.tate.org.uk/art/artists/jeffery-edwards-1050
2252,"Edwards, Sylvia",Female,born 1937,1937,,"Boston, United States",,http://www.tate.org.uk/art/artists/sylvia-edwards-2252
169,"Egg, Augustus Leopold",Male,1816–1863,1816,1863,"London, United Kingdom","Alger, Al-Jaza'ir",http://www.tate.org.uk/art/artists/augustus-leopold-egg-169
170,"Egley, William Maw",Male,1826–1916,1826,1916,"London, United Kingdom",,http://www.tate.org.uk/art/artists/william-maw-egley-170
1051,"Ehrlich, Georg",Male,1897–1966,1897,1966,"Wien, Österreich","Luzern, Schweiz",http://www.tate.org.uk/art/artists/georg-ehrlich-1051
5239,"Eliasson, Olafur",Male,born 1967,1967,,"København, Danmark",,http://www.tate.org.uk/art/artists/olafur-eliasson-5239
10751,"Elkoussy, Hala",Female,born 1974,1974,,"Al-Qahirah, Misr",,http://www.tate.org.uk/art/artists/hala-elkoussy-10751
1053,"Elliott, Geoffrey",Male,born 1935,1935,,"Derbyshire, United Kingdom",,http://www.tate.org.uk/art/artists/geoffrey-elliott-1053
171,"Elmore, Alfred",Male,1815–1881,1815,1881,"Clonakilty, Éire",,http://www.tate.org.uk/art/artists/alfred-elmore-171
16988,"El-Salahi, Ibrahim",Male,born 1930,1930,,As-Sudan,,http://www.tate.org.uk/art/artists/ibrahim-el-salahi-16988
8145,"Eluard, Nusch",Female,1906–1945,1906,1945,"Mulhouse, France","Paris, France",http://www.tate.org.uk/art/artists/nusch-eluard-8145
8147,"Eluard, Paul",Male,1895–1952,1895,1952,"Saint Denis-de-l'Hôtel, France","Charenton-le-Pont, France",http://www.tate.org.uk/art/artists/paul-eluard-8147
1054,"Elwell, Frederick W.",Male,1870–1958,1870,1958,"Beverley, United Kingdom",,http://www.tate.org.uk/art/artists/frederick-w-elwell-1054
